"Banány voľné";"1,39";"1,39";"kg";"";"";"ovocie-a-zelenina";"2002006555926";"002";"284002";
"Uhorka šalátová ks";"0,89";"0,89";"Kus";"";"";"ovocie-a-zelenina";"2002013968665";"030";"0000031429030";
"Pomaranče voľné";"1,69";"1,69";"kg";"";"";"ovocie-a-zelenina";"2002006558552";"069";"284069";
"Citróny voľné";"1,99";"1,99";"kg";"-9%";"2,19";"ovocie-a-zelenina";"2002006556329";"010";"284010";
"Cibuľa voľná";"0,79";"0,79";"kg";"";"";"ovocie-a-zelenina";"2002006556237";"007";"284007";
"Mrkva voľná";"0,89";"0,89";"kg";"";"";"ovocie-a-zelenina";"2002006558378";"058";"284058";
"Zemiaky konzumné voľné neskoré";"0,05";"0,45";"kg";"-49%";"0,89";"ovocie-a-zelenina";"2002006711681";"109";"284109";
"Kaleráb ks";"0,55";"0,55";"Kus";"-20%";"0,69";"ovocie-a-zelenina";"2002006557203";"287";"8588005306287";
"Paprika biela voľná";"2,49";"2,49";"kg";"";"";"ovocie-a-zelenina";"2002007857883";"265";"286265";
"Jablká Jonagold ukladané";"0,89";"0,89";"kg";"-35%";"1,39";"ovocie-a-zelenina";"2002010543704";"145";"284145";
"Paradajky strapcové voľné";"2,39";"2,39";"kg";"-11%";"2,69";"ovocie-a-zelenina";"2002120500234";"882";"280882";
"Paprika červená voľná";"2,39";"2,39";"kg";"-20%";"2,99";"ovocie-a-zelenina";"2002006558422";"062";"284062";
"Tesco Mrkva balená 1 kg";"0,89";"0,89";"kg";"";"";"ovocie-a-zelenina";"2002006760856";"034";"8588007216034";
"Tesco Zemiaky A konzumné neskoré prané A 2 kg";"1,69";"0,85";"kg";"";"";"ovocie-a-zelenina";"2002013914594";"609";"8588001665609";
"Tesco Paradajky cherry na stonke 500 g";"1,99";"3,98";"kg";"-16%";"2,39";"ovocie-a-zelenina";"2002007049332";"013";"5998470503013";
"Tesco Baby paradajky podlhovasté 250 g";"2,49";"9,96";"kg";"";"";"ovocie-a-zelenina";"2002017180131";"809";"8588005311809";
"Reďkovka červená zväzok";"0,59";"0,59";"Kus";"";"";"ovocie-a-zelenina";"2002006592433";"438";"0000000003438";
"Pór ks";"0,79";"0,79";"Kus";"";"";"ovocie-a-zelenina";"2002120670544";"236";"8588005311236";
"The Grower's Harvest Hrozno biele bezkôstkové 500 g";"2,49";"4,98";"kg";"";"";"ovocie-a-zelenina";"2002013680161";"556";"8585015406556";
"Tesco Šalát ľadový ks";"1,19";"1,19";"Kus";"";"";"ovocie-a-zelenina";"2002006558996";"405";"5051007065405";
"Cibuľka lahôdková zväzok";"0,69";"0,69";"Kus";"";"";"ovocie-a-zelenina";"2002006556268";"072";"8588005306072";
"Cesnak voľný";"4,89";"4,89";"kg";"";"";"ovocie-a-zelenina";"2002006556190";"006";"284006";
"Zeler";"0,59";"0,59";"kg";"-54%";"1,29";"ovocie-a-zelenina";"2002006559153";"080";"284080";
"Ananás ks";"1,49";"1,49";"Kus";"-40%";"2,49";"ovocie-a-zelenina";"2002006553694";"454";"8594018538454";
"Repa červená";"0,89";"0,89";"kg";"";"";"ovocie-a-zelenina";"2002007931705";"243";"286243";
